date,type,amount_inr,category,withdrawal,deposit,balance,ref_no
2023-02-01,DEBIT,20.0,Food,20.0,0.0,11606.97,340000000000
2023-02-01,DEBIT,80.0,Food,80.0,0.0,11526.97,303000000000
2023-02-02,DEBIT,5776.0,Rent,5776.0,0.0,5750.97,303000000000
2023-02-02,DEBIT,20.0,Food,20.0,0.0,5730.97,340000000000
2023-02-02,DEBIT,144.87,Food,144.87,0.0,5586.1,303000000000
2023-02-02,DEBIT,40.0,Food,40.0,0.0,5546.1,340000000000
2023-02-02,DEBIT,30.0,Food,30.0,0.0,5516.1,340000000000
2023-02-02,DEBIT,170.0,Misc,170.0,0.0,5346.1,340000000000
2023-02-03,DEBIT,40.0,Food,40.0,0.0,5021.1,340000000000
2023-02-03,DEBIT,190.0,Misc,190.0,0.0,5061.1,340000000000
2023-02-03,CREDIT,500.0,Misc,0.0,500.0,5268.1,303000000000
2023-02-03,DEBIT,17.0,Food,17.0,0.0,5251.1,340000000000
2023-02-03,DEBIT,50.0,Food,50.0,0.0,5268.1,340000000000
2023-02-03,DEBIT,28.0,Food,28.0,0.0,5318.1,303000000000
2023-02-03,DEBIT,500.0,Misc,500.0,0.0,4768.1,303000000000
2023-02-04,DEBIT,30.0,Food,30.0,0.0,4733.1,340000000000
2023-02-04,DEBIT,200.0,Misc,200.0,0.0,4821.1,304000000000
2023-02-04,DEBIT,30.0,Food,30.0,0.0,4791.1,340000000000
2023-02-04,DEBIT,40.0,Food,40.0,0.0,4751.1,304000000000
2023-02-04,CREDIT,152.0,Misc,0.0,152.0,4903.1,340000000000
2023-02-04,DEBIT,140.0,Misc,140.0,0.0,4763.1,340000000000
2023-02-04,DEBIT,40.0,Food,40.0,0.0,4693.1,340000000000
2023-02-05,DEBIT,40.0,Food,40.0,0.0,4653.1,340000000000
2023-02-05,DEBIT,180.0,Misc,180.0,0.0,4473.1,340000000000
2023-02-06,DEBIT,700.0,Misc,700.0,0.0,3573.1,304000000000
2023-02-06,DEBIT,20.0,Food,20.0,0.0,4273.1,304000000000
2023-02-06,DEBIT,20.0,Food,20.0,0.0,3553.1,340000000000
2023-02-06,DEBIT,80.0,Food,80.0,0.0,4393.1,340000000000
2023-02-06,DEBIT,100.0,Food,100.0,0.0,4293.1,340000000000
2023-02-07,DEBIT,40.0,Food,40.0,0.0,3412.1,340000000000
2023-02-07,DEBIT,10.0,Food,10.0,0.0,3402.1,340000000000
2023-02-07,DEBIT,65.0,Food,65.0,0.0,3488.1,340000000000
2023-02-07,DEBIT,36.0,Food,36.0,0.0,3452.1,304000000000
2023-02-08,DEBIT,150.28,Food,150.28,0.0,3251.82,341000000000
2023-02-08,DEBIT,20.0,Food,20.0,0.0,3231.82,304000000000
2023-02-08,DEBIT,500.0,Misc,500.0,0.0,2731.82,304000000000
2023-02-08,DEBIT,30.0,Food,30.0,0.0,2701.82,341000000000
2023-02-09,DEBIT,33.0,Food,33.0,0.0,2668.82,304000000000
2023-02-09,DEBIT,30.0,Food,30.0,0.0,2638.82,341000000000
2023-02-09,DEBIT,474.0,Shopping,474.0,0.0,2164.82,304000000000
2023-02-09,DEBIT,32.0,Food,32.0,0.0,2132.82,341000000000
2023-02-09,DEBIT,20.0,Food,20.0,0.0,2112.82,341000000000
2023-02-10,DEBIT,30.0,Food,30.0,0.0,1838.82,341000000000
2023-02-10,DEBIT,39.0,Food,39.0,0.0,1868.82,304000000000
2023-02-10,DEBIT,60.0,Food,60.0,0.0,1907.82,304000000000
2023-02-10,DEBIT,52.0,Food,52.0,0.0,1786.82,341000000000
2023-02-10,DEBIT,54.0,Food,54.0,0.0,2018.82,341000000000
2023-02-10,DEBIT,40.0,Food,40.0,0.0,2072.82,304000000000
2023-02-10,DEBIT,51.0,Food,51.0,0.0,1967.82,341000000000
2023-02-11,CREDIT,500.0,Misc,0.0,500.0,2257.54,304000000000
2023-02-11,DEBIT,60.0,Food,60.0,0.0,1757.54,341000000000
2023-02-11,DEBIT,150.28,Food,150.28,0.0,1817.54,304000000000
2023-02-11,CREDIT,249.0,Shopping,0.0,249.0,2035.82,304000000000
2023-02-11,DEBIT,261.0,Shopping,261.0,0.0,1999.82,304000000000
2023-02-11,CREDIT,225.0,Shopping,0.0,225.0,2260.82,304000000000
2023-02-11,DEBIT,32.0,Food,32.0,0.0,1967.82,304000000000
2023-02-12,DEBIT,44.0,Food,44.0,0.0,1883.54,341000000000
2023-02-12,DEBIT,100.0,Food,100.0,0.0,1783.54,341000000000
2023-02-12,DEBIT,500.0,Misc,500.0,0.0,1283.54,304000000000
2023-02-12,DEBIT,117.0,Misc,117.0,0.0,1166.54,304000000000
2023-02-12,DEBIT,25.0,Food,25.0,0.0,1141.54,304000000000
2023-02-12,DEBIT,30.0,Food,30.0,0.0,1111.54,304000000000
2023-02-12,DEBIT,330.0,Misc,330.0,0.0,1927.54,341000000000
2023-03-01,DEBIT,60.0,Food,60.0,0.0,11836.89,343000000000
2023-03-01,DEBIT,30.0,Food,30.0,0.0,11806.89,343000000000
2023-03-02,DEBIT,30.0,Food,30.0,0.0,11088.89,343000000000
2023-03-02,DEBIT,500.0,Misc,500.0,0.0,11118.89,343000000000
2023-03-02,DEBIT,50.0,Food,50.0,0.0,11618.89,343000000000
2023-03-02,DEBIT,28.0,Food,28.0,0.0,11778.89,343000000000
2023-03-02,DEBIT,110.0,Misc,110.0,0.0,11668.89,343000000000
2023-03-03,DEBIT,33.0,Food,33.0,0.0,11055.89,343000000000
2023-03-03,DEBIT,240.0,Misc,240.0,0.0,10815.89,343000000000
2023-03-03,DEBIT,60.0,Food,60.0,0.0,10755.89,343000000000
2023-03-03,DEBIT,6490.0,Rent,6490.0,0.0,4265.89,306000000000
2023-03-03,DEBIT,35.0,Food,35.0,0.0,4230.89,306000000000
2023-03-04,DEBIT,105.0,Misc,105.0,0.0,4125.89,306000000000
2023-03-04,DEBIT,10.0,Food,10.0,0.0,4115.89,306000000000
2023-03-04,DEBIT,30.0,Food,30.0,0.0,4085.89,343000000000
2023-03-04,DEBIT,25.0,Food,25.0,0.0,4060.89,343000000000
2023-03-04,DEBIT,200.0,Misc,200.0,0.0,3860.89,306000000000
2023-03-04,DEBIT,420.0,Misc,420.0,0.0,3440.89,343000000000
2023-03-04,DEBIT,40.0,Food,40.0,0.0,3400.89,343000000000
2023-03-05,DEBIT,20.0,Food,20.0,0.0,2410.89,306000000000
2023-03-05,DEBIT,500.0,Misc,500.0,0.0,2430.89,306000000000
2023-03-05,DEBIT,40.0,Food,40.0,0.0,2930.89,306000000000
2023-03-05,DEBIT,100.0,Food,100.0,0.0,3270.89,343000000000
2023-03-05,DEBIT,30.0,Food,30.0,0.0,3370.89,306000000000
2023-03-05,DEBIT,300.0,Misc,300.0,0.0,2970.89,306000000000
2023-03-06,CREDIT,131.0,Misc,0.0,131.0,2541.89,343000000000
2023-03-06,DEBIT,50.0,Food,50.0,0.0,2491.89,343000000000
2023-03-06,DEBIT,37.0,Food,37.0,0.0,2454.89,307000000000
2023-03-06,DEBIT,40.0,Food,40.0,0.0,2414.89,343000000000
2023-03-07,DEBIT,35.0,Food,35.0,0.0,2232.89,343000000000
2023-03-07,DEBIT,25.0,Food,25.0,0.0,2267.89,307000000000
2023-03-07,DEBIT,72.0,Food,72.0,0.0,2342.89,343000000000
2023-03-07,DEBIT,50.0,Food,50.0,0.0,2292.89,343000000000
2023-03-08,DEBIT,7.0,Misc,7.0,0.0,2225.89,307000000000
2023-03-08,DEBIT,30.0,Food,30.0,0.0,2195.89,307000000000
2023-03-08,DEBIT,75.0,Food,75.0,0.0,2120.89,307000000000
2023-03-08,DEBIT,150.5,Misc,150.5,0.0,1970.39,307000000000
2023-03-08,DEBIT,40.0,Food,40.0,0.0,1930.39,307000000000
2023-03-09,DEBIT,79.0,Food,79.0,0.0,1453.39,307000000000
2023-03-09,DEBIT,160.87,Food,160.87,0.0,1292.52,343000000000
2023-03-09,DEBIT,60.0,Food,60.0,0.0,1532.39,343000000000
2023-03-09,DEBIT,34.0,Food,34.0,0.0,1797.39,307000000000
2023-03-09,DEBIT,99.0,Food,99.0,0.0,1831.39,307000000000
2023-03-09,DEBIT,205.0,Misc,205.0,0.0,1592.39,343000000000
2023-03-10,DEBIT,50.0,Food,50.0,0.0,1242.52,307000000000
2023-03-10,DEBIT,50.0,Food,50.0,0.0,1192.52,344000000000
2023-03-10,DEBIT,214.96,Food,214.96,0.0,977.56,307000000000
2023-03-10,CREDIT,300.0,Misc,0.0,300.0,1277.56,307000000000
2023-03-10,DEBIT,70.0,Food,70.0,0.0,1207.56,307000000000
2023-03-11,DEBIT,500.0,Misc,500.0,0.0,855.56,307000000000
2023-03-11,DEBIT,62.0,Food,62.0,0.0,1145.56,307000000000
2023-03-11,CREDIT,210.0,Misc,0.0,210.0,1355.56,344000000000
2023-03-11,DEBIT,60.0,Food,60.0,0.0,795.56,344000000000
2023-03-11,DEBIT,25.3,Food,25.3,0.0,770.26,344000000000
2023-03-12,DEBIT,40.0,Food,40.0,0.0,306.26,344000000000
2023-03-12,DEBIT,54.0,Food,54.0,0.0,346.26,344000000000
2023-03-12,DEBIT,30.0,Food,30.0,0.0,440.26,307000000000
2023-03-12,DEBIT,300.0,Misc,300.0,0.0,470.26,307000000000
2023-03-12,DEBIT,40.0,Food,40.0,0.0,400.26,307000000000
2023-04-01,DEBIT,42.0,Food,42.0,0.0,5827.79,346000000000
2023-04-01,DEBIT,550.0,Misc,550.0,0.0,5869.79,309000000000
2023-04-01,DEBIT,267.15,Food,267.15,0.0,6419.79,309000000000
2023-04-01,DEBIT,6356.0,Rent,6356.0,0.0,6696.94,309000000000
2023-04-01,CREDIT,32.0,Misc,0.0,32.0,6728.94,0
2023-04-01,DEBIT,42.0,Food,42.0,0.0,6686.94,309000000000
2023-04-02,DEBIT,32.0,Food,32.0,0.0,5795.79,346000000000
2023-04-02,DEBIT,150.0,Misc,150.0,0.0,5645.79,309000000000
2023-04-02,DEBIT,1200.0,Misc,1200.0,0.0,4445.79,346000000000
2023-04-03,DEBIT,20.0,Food,20.0,0.0,5163.79,309000000000
2023-04-03,DEBIT,295.0,Misc,295.0,0.0,5183.79,309000000000
2023-04-03,DEBIT,10.0,Food,10.0,0.0,5153.79,346000000000
2023-04-03,DEBIT,82.0,Food,82.0,0.0,5563.79,346000000000
2023-04-03,CREDIT,1200.0,Misc,0.0,1200.0,5645.79,346000000000
2023-04-03,DEBIT,85.0,Food,85.0,0.0,5478.79,309000000000
2023-04-04,DEBIT,54.0,Shopping,54.0,0.0,3688.79,346000000000
2023-04-04,DEBIT,65.0,Food,65.0,0.0,3742.79,309000000000
2023-04-04,DEBIT,144.0,Misc,144.0,0.0,3807.79,346000000000
2023-04-04,DEBIT,150.0,Misc,150.0,0.0,5003.79,346000000000
2023-04-04,DEBIT,52.0,Food,52.0,0.0,4951.79,346000000000
2023-04-04,DEBIT,1000.0,Misc,1000.0,0.0,3951.79,309000000000
2023-04-05,CREDIT,54.0,Shopping,0.0,54.0,3742.79,310000000000
2023-04-05,DEBIT,2000.0,Misc,2000.0,0.0,1742.79,310000000000
2023-04-05,DEBIT,42.0,Food,42.0,0.0,1700.79,310000000000
2023-04-05,DEBIT,300.0,Misc,300.0,0.0,1400.79,310000000000
2023-04-05,DEBIT,90.0,Food,90.0,0.0,1310.79,310000000000
2023-04-06,DEBIT,30.0,Food,30.0,0.0,1280.79,310000000000
2023-04-06,DEBIT,20.0,Food,20.0,0.0,1260.79,310000000000
2023-04-06,DEBIT,250.0,Misc,250.0,0.0,1010.79,346000000000
2023-04-06,DEBIT,120.0,Misc,120.0,0.0,890.79,310000000000
2023-04-06,DEBIT,20.0,Food,20.0,0.0,870.79,310000000000
2023-04-07,DEBIT,51.0,Food,51.0,0.0,367.79,346000000000
2023-04-07,DEBIT,220.0,Misc,220.0,0.0,418.79,346000000000
2023-04-07,DEBIT,20.0,Food,20.0,0.0,638.79,310000000000
2023-04-07,DEBIT,65.0,Food,65.0,0.0,658.79,310000000000
2023-04-07,DEBIT,10.0,Food,10.0,0.0,805.79,310000000000
2023-04-07,DEBIT,50.0,Food,50.0,0.0,755.79,310000000000
2023-04-07,DEBIT,55.0,Food,55.0,0.0,815.79,310000000000
2023-04-07,DEBIT,32.0,Food,32.0,0.0,723.79,346000000000
2023-04-08,DEBIT,50.0,Food,50.0,0.0,317.79,346000000000
2023-04-08,CREDIT,1000.0,Misc,0.0,1000.0,1317.79,310000000000
2023-04-08,DEBIT,70.0,Food,70.0,0.0,1247.79,346000000000
2023-04-08,DEBIT,208.28,Food,208.28,0.0,1039.51,310000000000
2023-04-09,DEBIT,100.0,Food,100.0,0.0,553.51,347000000000
2023-04-09,DEBIT,310.0,Misc,310.0,0.0,729.51,347000000000
2023-04-09,DEBIT,76.0,Food,76.0,0.0,653.51,347000000000
2023-04-09,DEBIT,20.0,Food,20.0,0.0,533.51,347000000000
2023-04-10,DEBIT,20.0,Food,20.0,0.0,1235.51,347000000000
2023-04-10,DEBIT,3000.0,Misc,3000.0,0.0,1395.51,310000000000
2023-04-10,DEBIT,140.0,Misc,140.0,0.0,1255.51,347000000000
2023-04-10,DEBIT,138.0,Misc,138.0,0.0,395.51,347000000000
2023-04-10,CREDIT,4000.0,Misc,0.0,4000.0,4395.51,310000000000
2023-04-11,DEBIT,40.0,Food,40.0,0.0,1195.51,310000000000
2023-04-11,DEBIT,65.0,Food,65.0,0.0,1130.51,347000000000
2023-04-11,DEBIT,140.0,Misc,140.0,0.0,990.51,347000000000
2023-04-12,DEBIT,20.0,Food,20.0,0.0,970.51,347000000000
2023-04-12,DEBIT,46.0,Food,46.0,0.0,924.51,347000000000
2023-04-12,CREDIT,1000.0,Misc,0.0,1000.0,1924.51,310000000000
2023-04-12,CREDIT,300.0,Misc,0.0,300.0,2224.51,310000000000
2023-04-12,DEBIT,185.0,Misc,185.0,0.0,2039.51,347000000000
2023-04-12,DEBIT,80.0,Food,80.0,0.0,1959.51,347000000000
2023-05-01,DEBIT,30.0,Food,30.0,0.0,6065.52,349000000000
2023-05-01,DEBIT,80.0,Food,80.0,0.0,5955.52,349000000000
2023-05-01,DEBIT,30.0,Food,30.0,0.0,6035.52,349000000000
2023-05-01,DEBIT,35.0,Food,35.0,0.0,6095.52,312000000000
2023-05-01,DEBIT,240.0,Misc,240.0,0.0,6010.52,312000000000
2023-05-01,CREDIT,350.0,Misc,0.0,350.0,6250.52,312000000000
2023-05-01,DEBIT,65.0,Food,65.0,0.0,5900.52,312000000000
2023-05-01,DEBIT,6463.0,Rent,6463.0,0.0,5965.52,312000000000
2023-05-01,CREDIT,120.0,Misc,0.0,120.0,6130.52,312000000000
2023-05-02,DEBIT,260.35,Food,260.35,0.0,5695.17,349000000000
2023-05-02,DEBIT,50.0,Food,50.0,0.0,5645.17,349000000000
2023-05-02,DEBIT,10.0,Food,10.0,0.0,5635.17,312000000000
2023-05-02,DEBIT,150.0,Misc,150.0,0.0,5485.17,349000000000
2023-05-02,CREDIT,75.0,Misc,0.0,75.0,5560.17,349000000000
2023-05-02,DEBIT,45.0,Food,45.0,0.0,5515.17,349000000000
2023-05-02,DEBIT,30.0,Food,30.0,0.0,5485.17,349000000000
2023-05-02,DEBIT,1391.16,Misc,1391.16,0.0,4094.01,349000000000
2023-05-03,DEBIT,180.0,Misc,180.0,0.0,3720.01,349000000000
2023-05-03,DEBIT,85.0,Food,85.0,0.0,3900.01,349000000000
2023-05-03,DEBIT,20.0,Food,20.0,0.0,3700.01,349000000000
2023-05-03,DEBIT,69.0,Food,69.0,0.0,4025.01,349000000000
2023-05-03,DEBIT,40.0,Food,40.0,0.0,3985.01,349000000000
2023-05-04,DEBIT,64.0,Food,64.0,0.0,3143.11,312000000000
2023-05-04,DEBIT,20.0,Food,20.0,0.0,3207.11,349000000000
2023-05-04,DEBIT,396.9,Food,396.9,0.0,3227.11,312000000000
2023-05-04,DEBIT,26.0,Food,26.0,0.0,3674.01,349000000000
2023-05-04,DEBIT,30.0,Food,30.0,0.0,3634.01,349000000000
2023-05-04,DEBIT,10.0,Food,10.0,0.0,3664.01,312000000000
2023-05-04,DEBIT,10.0,Food,10.0,0.0,3624.01,312000000000
2023-05-05,CREDIT,95.0,Misc,0.0,95.0,3238.11,349000000000
2023-05-05,DEBIT,175.0,Misc,175.0,0.0,3063.11,349000000000
2023-05-05,DEBIT,40.0,Food,40.0,0.0,3023.11,349000000000
2023-05-05,DEBIT,76.0,Food,76.0,0.0,2947.11,313000000000
2023-05-05,DEBIT,100.0,Food,100.0,0.0,2847.11,313000000000
2023-05-05,DEBIT,933.0,Misc,933.0,0.0,1914.11,349000000000
2023-05-05,DEBIT,40.0,Food,40.0,0.0,1874.11,349000000000
2023-05-06,DEBIT,113.0,Misc,113.0,0.0,1180.11,349000000000
2023-05-06,DEBIT,30.0,Food,30.0,0.0,1293.11,349000000000
2023-05-06,DEBIT,240.0,Misc,240.0,0.0,1323.11,349000000000
2023-05-06,DEBIT,40.0,Food,40.0,0.0,1563.11,313000000000
2023-05-06,DEBIT,44.0,Food,44.0,0.0,1753.11,313000000000
2023-05-06,DEBIT,77.0,Food,77.0,0.0,1797.11,313000000000
2023-05-06,DEBIT,150.0,Misc,150.0,0.0,1603.11,313000000000
2023-05-07,CREDIT,681.0,Misc,0.0,681.0,4491.11,349000000000
2023-05-07,DEBIT,48.0,Food,48.0,0.0,1132.11,349000000000
2023-05-07,CREDIT,1132.0,Misc,0.0,1132.0,2264.11,313000000000
2023-05-07,CREDIT,136.0,Misc,0.0,136.0,2400.11,349000000000
2023-05-07,CREDIT,636.0,Misc,0.0,636.0,3036.11,349000000000
2023-05-07,DEBIT,80.0,Food,80.0,0.0,2956.11,349000000000
2023-05-07,DEBIT,10.0,Food,10.0,0.0,2946.11,349000000000
2023-05-07,CREDIT,936.0,Misc,0.0,936.0,3882.11,349000000000
2023-05-07,DEBIT,52.0,Food,52.0,0.0,3830.11,349000000000
2023-05-07,DEBIT,20.0,Food,20.0,0.0,3810.11,349000000000
2023-05-08,DEBIT,40.0,Food,40.0,0.0,4386.11,349000000000
2023-05-08,DEBIT,75.0,Food,75.0,0.0,4311.11,349000000000
2023-05-08,DEBIT,65.0,Food,65.0,0.0,4426.11,349000000000
2023-05-09,CREDIT,155.0,Misc,0.0,155.0,3555.36,313000000000
2023-05-09,DEBIT,35.0,Food,35.0,0.0,3798.36,313000000000
2023-05-09,DEBIT,60.0,Food,60.0,0.0,3495.36,350000000000
2023-05-09,CREDIT,10.0,Misc,0.0,10.0,3833.36,313000000000
2023-05-09,DEBIT,398.0,Misc,398.0,0.0,3400.36,350000000000
2023-05-09,DEBIT,247.75,Food,247.75,0.0,3923.36,350000000000
2023-05-09,DEBIT,10.0,Food,10.0,0.0,4171.11,313000000000
2023-05-09,DEBIT,100.0,Food,100.0,0.0,3823.36,350000000000
2023-05-09,DEBIT,90.0,Food,90.0,0.0,4181.11,313000000000
2023-05-09,DEBIT,40.0,Food,40.0,0.0,4271.11,313000000000
2023-05-10,DEBIT,284.0,Misc,284.0,0.0,3112.36,350000000000
2023-05-10,CREDIT,500.0,Misc,0.0,500.0,3436.36,313000000000
2023-05-10,DEBIT,500.0,Misc,500.0,0.0,2936.36,350000000000
2023-05-10,DEBIT,40.0,Food,40.0,0.0,3396.36,350000000000
2023-05-10,CREDIT,70.0,Misc,0.0,70.0,3575.36,313000000000
2023-05-10,CREDIT,10.0,Food,0.0,10.0,3505.36,350000000000
2023-05-10,DEBIT,139.0,Misc,139.0,0.0,3436.36,313000000000
2023-05-11,DEBIT,85.0,Food,85.0,0.0,3027.36,350000000000
2023-05-11,DEBIT,50.0,Food,50.0,0.0,2977.36,350000000000
2023-05-11,DEBIT,75.0,Food,75.0,0.0,2902.36,350000000000
2023-05-11,DEBIT,326.0,Misc,326.0,0.0,2576.36,350000000000
2023-05-11,DEBIT,36.0,Food,36.0,0.0,2540.36,350000000000
2023-05-12,DEBIT,20.0,Food,20.0,0.0,1252.36,350000000000
2023-05-12,CREDIT,105.0,Misc,0.0,105.0,942.36,350000000000
2023-05-12,DEBIT,385.0,Misc,385.0,0.0,837.36,350000000000
2023-05-12,DEBIT,30.0,Food,30.0,0.0,1222.36,350000000000
2023-05-12,DEBIT,41.0,Food,41.0,0.0,1272.36,313000000000
2023-05-12,DEBIT,380.0,Misc,380.0,0.0,2255.36,350000000000
2023-05-12,DEBIT,41.0,Food,41.0,0.0,2354.36,350000000000
2023-05-12,DEBIT,50.0,Food,50.0,0.0,2395.36,350000000000
2023-05-12,CREDIT,190.0,Misc,0.0,190.0,2445.36,350000000000
2023-05-12,CREDIT,95.0,Misc,0.0,95.0,2635.36,350000000000
2023-05-12,DEBIT,1041.0,Misc,1041.0,0.0,1313.36,313000000000
2023-06-01,CREDIT,186.0,Shopping,0.0,186.0,8637.96,315000000000
2023-06-02,DEBIT,30.0,Food,30.0,0.0,8607.96,352000000000
2023-06-02,DEBIT,160.0,Misc,160.0,0.0,8447.96,352000000000
2023-06-02,DEBIT,90.0,Food,90.0,0.0,8357.96,352000000000
2023-06-03,CREDIT,130.0,Misc,0.0,130.0,7673.95,315000000000
2023-06-03,DEBIT,50.0,Food,50.0,0.0,7197.95,352000000000
2023-06-03,DEBIT,390.0,Misc,390.0,0.0,7247.95,352000000000
2023-06-03,DEBIT,36.0,Food,36.0,0.0,7637.95,352000000000
2023-06-03,DEBIT,20.0,Food,20.0,0.0,7543.95,315000000000
2023-06-03,DEBIT,170.01,Misc,170.01,0.0,7703.95,352000000000
2023-06-03,DEBIT,105.0,Misc,105.0,0.0,7598.95,352000000000
2023-06-03,DEBIT,35.0,Food,35.0,0.0,7563.95,315000000000
2023-06-03,DEBIT,30.0,Food,30.0,0.0,7873.96,315000000000
2023-06-03,DEBIT,454.0,Shopping,454.0,0.0,7903.96,315000000000
2023-06-04,DEBIT,384.9,Food,384.9,0.0,5940.05,352000000000
2023-06-04,DEBIT,65.0,Food,65.0,0.0,6324.95,316000000000
2023-06-04,DEBIT,20.0,Food,20.0,0.0,5920.05,352000000000
2023-06-04,DEBIT,963.0,Misc,963.0,0.0,6199.95,352000000000
2023-06-04,DEBIT,35.0,Food,35.0,0.0,7162.95,352000000000
2023-06-04,CREDIT,190.0,Misc,0.0,190.0,6389.95,352000000000
2023-06-05,DEBIT,34.0,Food,34.0,0.0,5886.05,316000000000
2023-06-05,DEBIT,65.0,Food,65.0,0.0,5821.05,352000000000
2023-06-05,DEBIT,40.0,Food,40.0,0.0,5781.05,316000000000
2023-06-05,DEBIT,628.0,Misc,628.0,0.0,5153.05,352000000000
2023-06-05,DEBIT,8.0,Misc,8.0,0.0,5145.05,352000000000
2023-06-06,DEBIT,150.0,Misc,150.0,0.0,4629.55,316000000000
2023-06-06,DEBIT,50.0,Food,50.0,0.0,4064.55,352000000000
2023-06-06,DEBIT,515.0,Misc,515.0,0.0,4114.55,352000000000
2023-06-06,DEBIT,14.25,Food,14.25,0.0,4779.55,352000000000
2023-06-06,DEBIT,30.0,Food,30.0,0.0,5115.05,352000000000
2023-06-06,DEBIT,20.0,Food,20.0,0.0,4843.8,352000000000
2023-06-06,DEBIT,251.25,Food,251.25,0.0,4863.8,352000000000
2023-06-06,DEBIT,50.0,Food,50.0,0.0,4793.8,352000000000
2023-06-07,DEBIT,80.0,Food,80.0,0.0,3984.55,352000000000
2023-06-07,DEBIT,40.0,Food,40.0,0.0,3944.55,352000000000
2023-06-07,DEBIT,40.0,Food,40.0,0.0,3904.55,316000000000
2023-06-07,DEBIT,40.0,Food,40.0,0.0,3864.55,316000000000
2023-06-07,CREDIT,1600.0,Misc,0.0,1600.0,5464.55,352000000000
2023-06-07,DEBIT,130.0,Misc,130.0,0.0,5334.55,352000000000
2023-06-08,DEBIT,70.0,Food,70.0,0.0,5060.55,353000000000
2023-06-08,DEBIT,40.0,Food,40.0,0.0,5020.55,353000000000
2023-06-08,DEBIT,50.0,Food,50.0,0.0,5130.55,316000000000
2023-06-08,DEBIT,50.0,Food,50.0,0.0,5180.55,353000000000
2023-06-08,DEBIT,10.0,Food,10.0,0.0,5230.55,316000000000
2023-06-08,CREDIT,65.0,Misc,0.0,65.0,5240.55,353000000000
2023-06-08,DEBIT,125.0,Misc,125.0,0.0,5175.55,353000000000
2023-06-08,DEBIT,34.0,Food,34.0,0.0,5300.55,316000000000
2023-06-09,DEBIT,125.0,Misc,125.0,0.0,4891.55,353000000000
2023-06-09,DEBIT,8000.0,Misc,8000.0,0.0,5016.55,353000000000
2023-06-09,CREDIT,8000.0,Misc,0.0,8000.0,13016.55,353000000000
2023-06-09,DEBIT,60.0,Food,60.0,0.0,5016.55,316000000000
2023-06-09,CREDIT,171.0,Misc,0.0,171.0,5126.55,353000000000
2023-06-09,DEBIT,137.0,Misc,137.0,0.0,4955.55,353000000000
